"title"	"auteur"	"pid"	"venue"	"volume"	"number"	"pages"	"year"	"key"	"type"	"doi"	"ee"	"url"
"High-Speed General Purpose Genetic Algorithm Processor."	"    Seyed Pourya Hoseini Alinodehi    Sajjad Moshfe    Masoumeh Saber Zaeimian    Abdollah Khoei    Khairollah Hadidi"	"    52/8571    86/10782    181/7610    22/2191    181/7576"	"IEEE Trans. Cybernetics"	"46"	"7"	"1551-1565"	"2016"	"journals/tcyb/AlinodehiMZKH16"	"Journal Articles"	"10.1109/TCYB.2015.2451595"	"https://doi.org/10.1109/TCYB.2015.2451595"	"https://dblp.org/rec/journals/tcyb/AlinodehiMZKH16"
"A Fully Programmable Analog CMOS Rational-Powered Membership Function Generator with Continuously Adjustable High Precision Parameters."	"    Sajjad Moshfe    Pourya Hoseini    Abdollah Khoei    Khayrollah Hadidi"	"    86/10782    52/8571    22/2191    08/4231"	"CSSP"	"33"	"5"	"1337-1352"	"2014"	"journals/cssp/MoshfeHKH14"	"Journal Articles"	"10.1007/S00034-013-9698-9"	"https://doi.org/10.1007/s00034-013-9698-9"	"https://dblp.org/rec/journals/cssp/MoshfeHKH14"
"Efficient contrast enhancement of images using hybrid ant colony optimisation, genetic algorithm, and simulated annealing."	"    Pourya Hoseini    Mahrokh G. Shayesteh"	"    52/8571    41/1204"	"Digit. Signal Process."	"23"	"3"	"879-893"	"2013"	"journals/dsp/HoseiniS13"	"Journal Articles"	"10.1016/J.DSP.2012.12.011"	"https://doi.org/10.1016/j.dsp.2012.12.011"	"https://dblp.org/rec/journals/dsp/HoseiniS13"
"Polynomial and multivariate mapping-based triple-key approach for secure key distribution in wireless sensor networks."	"    Selva Reegan A.    E. Baburaj"	"    201/0918    91/6179"	"Comput. Electr. Eng."	"59"	"/"	"274-290"	"2017"	"journals/cee/AB17"	"Journal Articles"	"10.1016/J.COMPELECENG.2016.10.018"	"https://doi.org/10.1016/j.compeleceng.2016.10.018"	"https://dblp.org/rec/journals/cee/AB17"
"Corrigendum to &quot;A probabilistic analysis of a discrete-time evolution in recombination&quot; [Adv. in Appl. Math. 91 (2017) 115-136]."	"Servet Martínez 0001"	"62/4138"	"Adv. Appl. Math."	"110"	"/"	"403-411"	"2019"	"journals/aam/Martinez19"	"Journal Articles"	"10.1016/J.AAM.2019.03.001"	"https://doi.org/10.1016/j.aam.2019.03.001"	"https://dblp.org/rec/journals/aam/Martinez19"
"Corrigendum to &quot;A probabilistic analysis of a discrete-time evolution in recombination&quot; [Adv. in Appl. Math. 91 (2017) 115-136]."	"Servet Martínez 0001"	"62/4138"	"Adv. Appl. Math."	"110"	"/"	"403-411"	"2019"	"journals/aam/Martinez19"	"Journal Articles"	"10.1016/J.AAM.2019.03.001"	"https://doi.org/10.1016/j.aam.2019.03.001"	"https://dblp.org/rec/journals/aam/Martinez19"
"Additive representation of symmetric inverse M-matrices and potentials."	"    Claude Dellacherie    Servet Martínez 0001    Jaime San Martín"	"    62/9298    62/4138    32/6945"	"Adv. Appl. Math."	"81"	"/"	"13-39"	"2016"	"journals/aam/DellacherieMM16"	"Journal Articles"	"10.1016/J.AAM.2016.04.007"	"https://doi.org/10.1016/j.aam.2016.04.007"	"https://dblp.org/rec/journals/aam/DellacherieMM16"
"A stationary distribution associated to a set of laws whose initial states are grouped into classes. An application in genomics."	"Servet Martínez 0001"	"62/4138"	"J. Applied Probability"	"53"	"2"	"315-326"	"2016"	"journals/jap/Martinez16"	"Journal Articles"	"10.1017/JPR.2016.2"	"https://doi.org/10.1017/jpr.2016.2"	"https://dblp.org/rec/journals/jap/Martinez16"
"Existence and Uniqueness of a Quasistationary Distribution for Markov Processes with Fast Return from Infinity."	"    Servet Martínez 0001    Jaime San Martín    Denis Villemonais"	"    62/4138    32/6945    178/7723"	"J. Applied Probability"	"51"	"3"	"756-768"	"2014"	"journals/jap/MartinezMV14"	"Journal Articles"	"10.1017/S0021900200011657"	"https://doi.org/10.1017/S0021900200011657"	"https://dblp.org/rec/journals/jap/MartinezMV14"
"The Class of Inverse M-Matrices Associated to Random Walks."	"    Claude Dellacherie    Servet Martínez 0001    Jaime San Martín"	"    62/9298    62/4138    32/6945"	"SIAM J. Matrix Analysis Applications"	"34"	"2"	"831-854"	"2013"	"journals/siammax/DellacherieMM13"	"Journal Articles"	"10.1137/120900411"	"https://doi.org/10.1137/120900411"	"https://dblp.org/rec/journals/siammax/DellacherieMM13"
"Hadamard Functions that Preserve Inverse M-Matrices."	"    Claude Dellacherie    Servet Martínez 0001    Jaime San Martín"	"    62/9298    62/4138    32/6945"	"SIAM J. Matrix Analysis Applications"	"33"	"2"	"501-522"	"2012"	"journals/siammax/DellacherieMM12"	"Journal Articles"	"10.1137/11082275X"	"https://doi.org/10.1137/11082275X"	"https://dblp.org/rec/journals/siammax/DellacherieMM12"
"Hadamard Functions of Inverse M-Matrices."	"    Claude Dellacherie    Servet Martínez 0001    Jaime San Martín"	"    62/9298    62/4138    32/6945"	"SIAM J. Matrix Analysis Applications"	"31"	"2"	"289-315"	"2009"	"journals/siammax/DellacherieMM09"	"Journal Articles"	"10.1137/060651082"	"https://doi.org/10.1137/060651082"	"https://dblp.org/rec/journals/siammax/DellacherieMM09"
"Sequential dynamics of high order polynomial automata networks - an application to the Erlang fixed-point equations."	"    Andrew G. Hart    Servet Martínez 0001"	"    26/1860    62/4138"	"Appl. Math. Comput."	"151"	"2"	"507-522"	"2004"	"journals/amc/HartM04"	"Journal Articles"	"10.1016/S0096-3003(03)00358-8"	"https://doi.org/10.1016/S0096-3003(03)00358-8"	"https://dblp.org/rec/journals/amc/HartM04"
"Some bounds on the coupon collector problem."	"Servet Martínez 0001"	"62/4138"	"Random Struct. Algorithms"	"25"	"2"	"208-226"	"2004"	"journals/rsa/Martinez04"	"Journal Articles"	"10.1002/RSA.20019"	"https://doi.org/10.1002/rsa.20019"	"https://dblp.org/rec/journals/rsa/Martinez04"
"A New Class of Inverse M-Matrices of Tree-Like Type."	"    Servet Martínez 0001    Jaime San Martín    Xiao-Dong Zhang"	"    62/4138    32/6945    22/5516"	"SIAM J. Matrix Analysis Applications"	"24"	"4"	"1136-1148"	"2003"	"journals/siammax/MartinezMZ03"	"Journal Articles"	"10.1137/S0895479801396816"	"https://doi.org/10.1137/S0895479801396816"	"https://dblp.org/rec/journals/siammax/MartinezMZ03"
"Sequential iteration of the Erlang fixed-point equations."	"    Andrew G. Hart    Servet Martínez 0001"	"    26/1860    62/4138"	"Inf. Process. Lett."	"81"	"6"	"319-325"	"2002"	"journals/ipl/HartM02"	"Journal Articles"	"10.1016/S0020-0190(01)00238-1"	"https://doi.org/10.1016/S0020-0190(01)00238-1"	"https://dblp.org/rec/journals/ipl/HartM02"
"Errata - Lyapunov Functionals for Automata Networks Defined by Cyclically Monotone Functions."	"    Eric Goles Ch.    Servet Martínez A."	"    84/3024    62/4138"	"SIAM J. Discrete Math."	"6"	"4"	"677"	"1993"	"journals/siamdm/ChA93"	"Journal Articles"	"10.1137/0406051"	"https://doi.org/10.1137/0406051"	"https://dblp.org/rec/journals/siamdm/ChA93"
"On the Limit Set of Some Universal Cellular Automata."	"    Eric Goles Ch.    Alejandro Maass    Servet Martínez A."	"    84/3024    85/4252    62/4138"	"Theor. Comput. Sci."	"110"	"1"	"53-78"	"1993"	"journals/tcs/ChMM93"	"Journal Articles"	"10.1016/0304-3975(93)90350-3"	"https://doi.org/10.1016/0304-3975(93)90350-3"	"https://dblp.org/rec/journals/tcs/ChMM93"
"Scalable e-Optimal Decision-Making and Stochastic Routing in Large Networks via Distributed Supervision of Probabilistic Automata."	"Ishanu Chattopadhyay"	"19/8397"	"SIAM J. Control and Optimization"	"52"	"4"	"2512-2547"	"2014"	"journals/siamco/Chattopadhyay14"	"Journal Articles"	"10.1137/110857507"	"https://doi.org/10.1137/110857507"	"https://dblp.org/rec/journals/siamco/Chattopadhyay14"
"Errata - Lyapunov Functionals for Automata Networks Defined by Cyclically Monotone Functions."	"    Eric Goles Ch.    Servet Martínez A."	"    84/3024    62/4138"	"SIAM J. Discrete Math."	"6"	"4"	"677"	"1993"	"journals/siamdm/ChA93"	"Journal Articles"	"10.1137/0406051"	"https://doi.org/10.1137/0406051"	"https://dblp.org/rec/journals/siamdm/ChA93"
"Energy Functions in Neural Networks with Continuous Local Functions."	"    Françoise Fogelman-Soulié    C. Mejia    Eric Goles    Servet Martínez A."	"    07/5814    200/9492    84/3024    62/4138"	"Complex Systems"	"3"	"3"	"/"	"1989"	"journals/compsys/Fogelman-Soulie89"	"Journal Articles"	"/"	"http://www.complex-systems.com/abstracts/v03_i03_a04.html"	"https://dblp.org/rec/journals/compsys/Fogelman-Soulie89"
"Exponential Transient Classes of Symmetric Neural Networks for Synchronous and Sequential Updating."	"    Eric Goles    Servet Martínez A."	"    84/3024    62/4138"	"Complex Systems"	"3"	"6"	"/"	"1989"	"journals/compsys/GolesA89"	"Journal Articles"	"/"	"http://www.complex-systems.com/abstracts/v03_i06_a03.html"	"https://dblp.org/rec/journals/compsys/GolesA89"
"Properties of positive functions and the dynamics of associated automata networks."	"    Eric Goles Ch.    Servet Martínez A."	"    84/3024    62/4138"	"Discret. Appl. Math."	"18"	"1"	"39-46"	"1987"	"journals/dam/ChA87"	"Journal Articles"	"10.1016/0166-218X(87)90040-0"	"https://doi.org/10.1016/0166-218X(87)90040-0"	"https://dblp.org/rec/journals/dam/ChA87"
"Points d&apos;Orbite Dense de Certains Langages de Mots Infinis."	"    François Blanchard    Servet Martínez A."	"    84/6530    62/4138"	"Theor. Comput. Sci."	"44"	"/"	"107-110"	"1986"	"journals/tcs/BlanchardM86"	"Journal Articles"	"10.1016/0304-3975(86)90111-8"	"https://doi.org/10.1016/0304-3975(86)90111-8"	"https://dblp.org/rec/journals/tcs/BlanchardM86"
"A Short Proof on the Cyclic Behaviour of Multithreshold Symmetric Automata"	"    Eric Goles Ch.    Servet Martínez A."	"    84/3024    62/4138"	"Information and Control"	"51"	"2"	"95-97"	"1981"	"journals/iandc/GolesM81"	"Journal Articles"	"10.1016/S0019-9958(81)90199-6"	"https://doi.org/10.1016/S0019-9958(81)90199-6"	"https://dblp.org/rec/journals/iandc/GolesM81"
"Levy-Lieb-Based Monte Carlo Study of the Dimensionality Behaviour of the Electronic Kinetic Functional."	"    Seshaditya A.    Luca M. Ghiringhelli    Luigi Delle Site"	"    202/8220    194/2786    08/4278"	"Computation"	"5"	"2"	"30"	"2017"	"journals/computation/AGS17"	"Journal Articles"	"10.3390/COMPUTATION5020030"	"https://doi.org/10.3390/computation5020030"	"https://dblp.org/rec/journals/computation/AGS17"
"Behavior of 3-axis conformal proximity sensor arrays for restraint-free, in-vehicle, deployable safety assistance."	"    K. K. Vamshi Durgam    Shanmugha Sundaram G. A."	"    238/4743    168/7078"	"Journal of Intelligent and Fuzzy Systems"	"36"	"3"	"2085-2094"	"2019"	"journals/jifs/DurgamA19"	"Journal Articles"	"10.3233/JIFS-169920"	"https://doi.org/10.3233/JIFS-169920"	"https://dblp.org/rec/journals/jifs/DurgamA19"
"Influence of orbital perturbations due to non-spherical Earth shape on the Landsat multispectral imaging platform."	"    Shanmugha Sundaram G. A.    R. Reshma"	"    168/7078    216/6880"	"Journal of Intelligent and Fuzzy Systems"	"34"	"3"	"1723-1730"	"2018"	"journals/jifs/AR18"	"Journal Articles"	"10.3233/JIFS-169465"	"https://doi.org/10.3233/JIFS-169465"	"https://dblp.org/rec/journals/jifs/AR18"
"A taxonomy on impact of label noise and feature noise using machine learning techniques."	"    Shanthini A.    G. Vinodhini    R. M. Chandrasekaran    P. Supraja"	"    220/2968    190/9018    12/7430    95/10482"	"Soft Comput."	"23"	"18"	"8597-8607"	"2019"	"journals/soco/AVCS19"	"Journal Articles"	"10.1007/S00500-019-03968-7"	"https://doi.org/10.1007/s00500-019-03968-7"	"https://dblp.org/rec/journals/soco/AVCS19"
"Predicting Students&apos; Academic Performance in the University Using Meta Decision Tree Classifiers."	"    Shanthini A.    G. Vinodhini    R. M. Chandrasekaran"	"    220/2968    190/9018    12/7430"	"JCS"	"14"	"5"	"654-662"	"2018"	"journals/jcsci/AVC18"	"Journal Articles"	"10.3844/JCSSP.2018.654.662"	"https://doi.org/10.3844/jcssp.2018.654.662"	"https://dblp.org/rec/journals/jcsci/AVC18"
"A Hybrid Multimodal Medical Image Fusion Technique for CT and MRI Brain Images."	"    Leena Chandrashekar    Sreedevi A."	"    231/9731    231/9945"	"IJCVIP"	"8"	"3"	"1-15"	"2018"	"journals/ijcvip/ChandrashekarA18"	"Journal Articles"	"10.4018/IJCVIP.2018070101"	"https://doi.org/10.4018/IJCVIP.2018070101"	"https://dblp.org/rec/journals/ijcvip/ChandrashekarA18"
"Hindmarsh-Rose neuron model with memristors."	"    Usha K.    Subha P. A."	"    236/7624    236/7914"	"Biosyst."	"178"	"/"	"1-9"	"2019"	"journals/biosystems/KA19"	"Journal Articles"	"10.1016/J.BIOSYSTEMS.2019.01.005"	"https://doi.org/10.1016/j.biosystems.2019.01.005"	"https://dblp.org/rec/journals/biosystems/KA19"
"Domain-Specific Architecture for Software Agents."	"    Suganthy A.    A. Chithralekha"	"    33/8179    43/9571"	"Journal of Object Technology"	"7"	"6"	"77-100"	"2008"	"journals/jot/AT08"	"Journal Articles"	"10.5381/JOT.2008.7.6.A2"	"https://doi.org/10.5381/jot.2008.7.6.a2"	"https://dblp.org/rec/journals/jot/AT08"
"Sub Band Speech Analysis Using Gammatone Filter Banks and Optimal Pitch Extraction Methods for Each Sub Band Using Average Magnitude Difference Function (AMDF) for LPC Speech Coders in Noisy Environments."	"    Suma S. A.    K. S. Gurumurthy"	"    41/9084    21/7474"	"JNIT"	"1"	"2"	"13-24"	"2010"	"journals/jnit/AG10"	"Journal Articles"	"/"	"http://www.humanpub.org/jnit/ppl/_3-2_Vol1_Num2.pdf"	"https://dblp.org/rec/journals/jnit/AG10"
"New Improved Echo Canceller Based on Normalized LMS Adaptive Filter for Single Talk and Double Talk Detection, Subband Echo Cancellation, Acoustic Echo Cancellation."	"    Suma S. A.    K. S. Gurumurthy"	"    41/9084    21/7474"	"JNIT"	"1"	"2"	"61-74"	"2010"	"journals/jnit/AG10a"	"Journal Articles"	"/"	"http://www.humanpub.org/jnit/ppl/_3-6_Vol1_Num2.pdf"	"https://dblp.org/rec/journals/jnit/AG10a"
"Sigma-Delta Modulator Simulation and Analysis Using MatLab."	"    Thuneibat S. A.    Ababneh M. S."	"    119/1213    119/1246"	"Computer and Information Science"	"5"	"5"	"76-80"	"2012"	"journals/ccsecis/AS12"	"Journal Articles"	"10.5539/CIS.V5N5P76"	"https://doi.org/10.5539/cis.v5n5p76"	"https://dblp.org/rec/journals/ccsecis/AS12"
"Special issue on support vector machines."	"    Colin Campbell    Chih-Jen Lin    S. Sathiya Keerthi    V. David Sánchez A."	"    48/2217    61/1218    35/6732    43/2334"	"Neurocomputing"	"55"	"1-2"	"1-3"	"2003"	"journals/ijon/CampbellLKA03"	"Journal Articles"	"10.1016/S0925-2312(03)00428-4"	"https://doi.org/10.1016/S0925-2312(03)00428-4"	"https://dblp.org/rec/journals/ijon/CampbellLKA03"
"Advanced support vector machines and kernel methods."	"V. David Sánchez A."	"43/2334"	"Neurocomputing"	"55"	"1-2"	"5-20"	"2003"	"journals/ijon/A03"	"Journal Articles"	"10.1016/S0925-2312(03)00373-4"	"https://doi.org/10.1016/S0925-2312(03)00373-4"	"https://dblp.org/rec/journals/ijon/A03"
"Searching for a solution to the automatic RBF network design problem."	"V. David Sánchez A."	"43/2334"	"Neurocomputing"	"42"	"1-4"	"147-170"	"2002"	"journals/ijon/A02"	"Journal Articles"	"10.1016/S0925-2312(01)00600-2"	"https://doi.org/10.1016/S0925-2312(01)00600-2"	"https://dblp.org/rec/journals/ijon/A02"
"Frontiers of research in BSS/ICA."	"V. David Sánchez A."	"43/2334"	"Neurocomputing"	"49"	"1-4"	"7-23"	"2002"	"journals/ijon/A02a"	"Journal Articles"	"10.1016/S0925-2312(02)00533-7"	"https://doi.org/10.1016/S0925-2312(02)00533-7"	"https://dblp.org/rec/journals/ijon/A02a"
"The design of a real-time neurocomputer based on RBF networks."	"    V. David Sánchez A.    Shon Sloat    Joe Guerrero    David Shullo    Michael Lefebvre"	"    43/2334    89/1035    79/2692    13/5004    98/5513"	"Neurocomputing"	"20"	"1-3"	"111-114"	"1998"	"journals/ijon/ASGSL98"	"Journal Articles"	"10.1016/S0925-2312(98)00023-X"	"https://doi.org/10.1016/S0925-2312(98)00023-X"	"https://dblp.org/rec/journals/ijon/ASGSL98"
"On the number and the distribution of RBF centers."	"V. David Sánchez A."	"43/2334"	"Neurocomputing"	"7"	"2"	"197-202"	"1995"	"journals/ijon/A95"	"Journal Articles"	"10.1016/0925-2312(94)00074-3"	"https://doi.org/10.1016/0925-2312(94)00074-3"	"https://dblp.org/rec/journals/ijon/A95"
"Second derivative dependent placement of RBF centers."	"V. David Sánchez A."	"43/2334"	"Neurocomputing"	"7"	"3"	"311-317"	"1995"	"journals/ijon/A95a"	"Journal Articles"	"10.1016/0925-2312(94)00082-4"	"https://doi.org/10.1016/0925-2312(94)00082-4"	"https://dblp.org/rec/journals/ijon/A95a"
"Robustization of a learning method for RBF networks."	"V. David Sánchez A."	"43/2334"	"Neurocomputing"	"9"	"1"	"85-94"	"1995"	"journals/ijon/A95b"	"Journal Articles"	"10.1016/0925-2312(95)00000-V"	"https://doi.org/10.1016/0925-2312(95)00000-V"	"https://dblp.org/rec/journals/ijon/A95b"
"Neuronale Netze in der Robotik / Neuronal Nets in Robotics."	"    Gerhard Hirzinger    V. David Sánchez A.    Friedrich Lange"	"    h/GerdHirzinger    43/2334    93/6891"	"it - Informationstechnik"	"33"	"6"	"317-322"	"1991"	"journals/it/HirzingerAL91"	"Journal Articles"	"10.1524/ITIT.1991.33.6.317"	"https://doi.org/10.1524/itit.1991.33.6.317"	"https://dblp.org/rec/journals/it/HirzingerAL91"
"A quantitative approach for setting technical targets based on impact analysis in software quality function deployment (SQFD)."	"    Xiaoqing Frank Liu    Kunio Noguchi    Anuj Dhungana    V. V. N. S. N. Srirangam A.    Praveen Inuganti"	"    48/2518    92/295    48/4782    06/6528    84/3691"	"Software Quality Journal"	"14"	"2"	"113-134"	"2006"	"journals/sqj/LiuNDAI06"	"Journal Articles"	"10.1007/S11219-006-7598-Y"	"https://doi.org/10.1007/s11219-006-7598-y"	"https://dblp.org/rec/journals/sqj/LiuNDAI06"
"A neural network based deep learning approach for efficient segmentation of brain tumor medical image data."	"    VeeraMuthu A.    S. Meenakshi    K. Ashok Kumar"	"    140/7620    34/9741    241/0025"	"Journal of Intelligent and Fuzzy Systems"	"36"	"5"	"4227-4234"	"2019"	"journals/jifs/AMK19"	"Journal Articles"	"10.3233/JIFS-169980"	"https://doi.org/10.3233/JIFS-169980"	"https://dblp.org/rec/journals/jifs/AMK19"
"Design of sliding mode controller for magnetic levitation system."	"    Vimala Starbino A.    Sathiyavathi S."	"    252/3290    252/3308"	"Comput. Electr. Eng."	"78"	"/"	"184-203"	"2019"	"journals/cee/AS19"	"Journal Articles"	"10.1016/J.COMPELECENG.2019.07.007"	"https://doi.org/10.1016/j.compeleceng.2019.07.007"	"https://dblp.org/rec/journals/cee/AS19"
"Inverted E-Shaped Wearable Textile Antenna for Medical Applications."	"    Adel Y. I. Ashyap    Zuhairiah Zainal Abidin    Samsul Haimi Dahlan    Huda A. Majid    Waddah A. M. A.    Muhammad Ramlee Kamarudin    George A. Oguntala    Raed A. Abd-Alhameed    James M. Noras"	"    223/1464    163/3028    210/0481    223/1442    223/1573    44/11210    203/3428    48/10609    10/733"	"IEEE Access"	"6"	"/"	"35214-35222"	"2018"	"journals/access/AshyapADMAKOAN18"	"Journal Articles"	"10.1109/ACCESS.2018.2847280"	"https://doi.org/10.1109/ACCESS.2018.2847280"	"https://dblp.org/rec/journals/access/AshyapADMAKOAN18"
"A Colon Video Analysis Framework for Polyp Detection."	"    Sun Young Park    Dustin Sargent    Inbar Spofford    Kirby G. Vosburgh    Yousif A.-Rahim"	"    95/1311    17/11234    14/11234    32/5742    10/11234"	"IEEE Trans. Biomed. Engineering"	"59"	"5"	"1408-1418"	"2012"	"journals/tbe/ParkSSVA12"	"Journal Articles"	"10.1109/TBME.2012.2188397"	"https://doi.org/10.1109/TBME.2012.2188397"	"https://dblp.org/rec/journals/tbe/ParkSSVA12"
"SuCComBase - a manually curated repository of plant sulfur-containing compounds."	"    Sarahani Harun    Muhammad Redha Abdullah Zawawi    Mohd Rusman Arief A.-Rahman    Nor Azlan Nor Muhammad    Zeti-Azura Mohamed-Hussein"	"    213/7112    207/9317    213/7216    213/7129    32/8245"	"Database"	"2019"	"/"	"baz021"	"2019"	"journals/biodb/HarunZAMM19"	"Journal Articles"	"10.1093/DATABASE/BAZ021"	"https://doi.org/10.1093/database/baz021"	"https://dblp.org/rec/journals/biodb/HarunZAMM19"
"PCOSBase - a manually curated database of polycystic ovarian syndrome."	"    Nor Afiqah-Aleng    Sarahani Harun    Mohd Rusman Arief A.-Rahman    Nor Azlan Nor Muhammad    Zeti-Azura Mohamed-Hussein"	"    213/7248    213/7112    213/7216    213/7129    32/8245"	"Database"	"2017"	"/"	"bax098"	"2017"	"journals/biodb/Afiqah-AlengHAM17"	"Journal Articles"	"10.1093/DATABASE/BAX098"	"https://doi.org/10.1093/database/bax098"	"https://dblp.org/rec/journals/biodb/Afiqah-AlengHAM17"
"Applications of rule-induction in the derivation of quantitative structure-activity relationships."	"    Mohammed A.-Razzak    Robert C. Glen"	"    84/9616    12/431"	"Journal of Computer-Aided Molecular Design"	"6"	"4"	"349-383"	"1992"	"journals/jcamd/A-RazzakG92"	"Journal Articles"	"10.1007/BF00125944"	"https://doi.org/10.1007/BF00125944"	"https://dblp.org/rec/journals/jcamd/A-RazzakG92"
"PRETSA - Event Log Sanitization for Privacy-aware Process Discovery - (Extended Abstract)."	"    Stephan A. Fahrenkrog-Petersen    Han van der Aa    Matthias Weidlich"	"    234/5835    132/6986    61/267"	"Informatik Spektrum"	"42"	"5"	"352-353"	"2019"	"journals/insk/Fahrenkrog-Petersen19"	"Journal Articles"	"10.1007/S00287-019-01203-Z"	"https://doi.org/10.1007/s00287-019-01203-z"	"https://dblp.org/rec/journals/insk/Fahrenkrog-Petersen19"
"Using Hidden Markov Models for the accurate linguistic analysis of process model activity labels."	"    Henrik Leopold    Han van der Aa    Jelmer Offenberg    Hajo A. Reijers"	"    25/8214    132/6986    240/2709    54/2034"	"Inf. Syst."	"83"	"/"	"30-39"	"2019"	"journals/is/LeopoldAOR19"	"Journal Articles"	"10.1016/J.IS.2019.02.005"	"https://doi.org/10.1016/j.is.2019.02.005"	"https://dblp.org/rec/journals/is/LeopoldAOR19"
"Searching textual and model-based process descriptions based on a unified data format."	"    Henrik Leopold    Han van der Aa    Fabian Pittke    Manuel Raffel    Jan Mendling    Hajo A. Reijers"	"    25/8214    132/6986    125/0326    180/8571    m/JanMendling    54/2034"	"Software and Systems Modeling"	"18"	"2"	"1179-1194"	"2019"	"journals/sosym/LeopoldAPRMR19"	"Journal Articles"	"10.1007/S10270-017-0649-Y"	"https://doi.org/10.1007/s10270-017-0649-y"	"https://dblp.org/rec/journals/sosym/LeopoldAPRMR19"
"PRETSA - Event Log Sanitization for Privacy-aware Process Discovery - (Extended Abstract)."	"    Stephan A. Fahrenkrog-Petersen    Han van der Aa    Matthias Weidlich"	"    234/5835    132/6986    61/267"	"Informatik Spektrum"	"42"	"5"	"352-353"	"2019"	"journals/insk/Fahrenkrog-Petersen19"	"Journal Articles"	"10.1007/S00287-019-01203-Z"	"https://doi.org/10.1007/s00287-019-01203-z"	"https://dblp.org/rec/journals/insk/Fahrenkrog-Petersen19"
"A probabilistic evaluation procedure for process model matching techniques."	"    Elena Kuss    Henrik Leopold    Han van der Aa    Heiner Stuckenschmidt    Hajo A. Reijers"	"    171/6213    25/8214    132/6986    50/5895    54/2034"	"Data Knowl. Eng."	"117"	"/"	"393-406"	"2018"	"journals/dke/KussLASR18"	"Journal Articles"	"10.1016/J.DATAK.2018.04.008"	"https://doi.org/10.1016/j.datak.2018.04.008"	"https://dblp.org/rec/journals/dke/KussLASR18"
"Aligning textual and model-based process descriptions."	"    Josep Sànchez-Ferreres    Han van der Aa    Josep Carmona    Lluís Padró"	"    200/9073    132/6986    52/5368    56/5747"	"Data Knowl. Eng."	"118"	"/"	"25-40"	"2018"	"journals/dke/Sanchez-Ferreres18"	"Journal Articles"	"10.1016/J.DATAK.2018.09.001"	"https://doi.org/10.1016/j.datak.2018.09.001"	"https://dblp.org/rec/journals/dke/Sanchez-Ferreres18"
"Checking process compliance against natural language specifications using behavioral spaces."	"    Han van der Aa    Henrik Leopold    Hajo A. Reijers"	"    132/6986    25/8214    54/2034"	"Inf. Syst."	"78"	"/"	"83-95"	"2018"	"journals/is/AaLR18"	"Journal Articles"	"10.1016/J.IS.2018.01.007"	"https://doi.org/10.1016/j.is.2018.01.007"	"https://dblp.org/rec/journals/is/AaLR18"
"Comparing textual descriptions to process models - The automatic detection of inconsistencies."	"    Han van der Aa    Henrik Leopold    Hajo A. Reijers"	"    132/6986    25/8214    54/2034"	"Inf. Syst."	"64"	"/"	"447-460"	"2017"	"journals/is/AaLR17"	"Journal Articles"	"10.1016/J.IS.2016.07.010"	"https://doi.org/10.1016/j.is.2016.07.010"	"https://dblp.org/rec/journals/is/AaLR17"
"Transforming unstructured natural language descriptions into measurable process performance indicators using Hidden Markov Models."	"    Han van der Aa    Henrik Leopold    Adela del-Río-Ortega    Manuel Resinas    Hajo A. Reijers"	"    132/6986    25/8214    43/8687    41/3443    54/2034"	"Inf. Syst."	"71"	"/"	"27-39"	"2017"	"journals/is/AaLdRR17"	"Journal Articles"	"10.1016/J.IS.2017.06.005"	"https://doi.org/10.1016/j.is.2017.06.005"	"https://dblp.org/rec/journals/is/AaLdRR17"
"Designing like a Pro - The automated composition of workflow activities."	"    Han van der Aa    Hajo A. Reijers    Irene T. P. Vanderfeesten"	"    132/6986    54/2034    82/4987"	"Comput. Ind."	"75"	"/"	"162-177"	"2016"	"journals/cii/AaRV16"	"Journal Articles"	"10.1016/J.COMPIND.2015.04.005"	"https://doi.org/10.1016/j.compind.2015.04.005"	"https://dblp.org/rec/journals/cii/AaRV16"
"Good modelling practice in drinking water treatment, applied to Weesperkarspel plant of Waternet."	"    L. C. Rietveld    A. W. C. van der Helm    K. M. van Schagen    L. T. J. van der Aa"	"    55/7682    02/8044    84/8043    01/8044"	"Environ. Model. Softw."	"25"	"5"	"661-669"	"2010"	"journals/envsoft/RietveldHSA10"	"Journal Articles"	"10.1016/J.ENVSOFT.2009.05.015"	"https://doi.org/10.1016/j.envsoft.2009.05.015"	"https://dblp.org/rec/journals/envsoft/RietveldHSA10"
"Small form factor Portable Blue drive - power consumption considerations."	"    S. B. Luitjens    M. W. Blum    B. M. de Boer    W. F. J. Fontijn    M. A. H. van der Aa"	"    134/8621    81/11311    134/8483    134/8495    134/8531"	"IEEE Trans. Consumer Electronics"	"49"	"3"	"637-641"	"2003"	"journals/tce/LuitjensBBFA03"	"Journal Articles"	"10.1109/TCE.2003.1233789"	"https://doi.org/10.1109/TCE.2003.1233789"	"https://dblp.org/rec/journals/tce/LuitjensBBFA03"
